"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 15 15:56:36 MSK 2021","Fri Oct 15 15:57:41 MSK 2021","64735","","Тестирование","","Тестирование","Сохранение суммы ставки после заключения пари (Test Suite Name: saveSumBetAfterStandartBet)","Сохранение суммы ставки после заключения пари (Test Suite Name: saveSumBetAfterStandartBet)",""
"passed","Fri Oct 15 16:25:24 MSK 2021","Fri Oct 15 16:26:48 MSK 2021","84425","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет из деталей события (Test Suite Name: saleFreeBetInEventDetails)","Продажа бонусной ставки Фрибет из деталей события (Test Suite Name: saleFreeBetInEventDetails)",""
"passed","Fri Oct 15 16:36:16 MSK 2021","Fri Oct 15 16:37:48 MSK 2021","92187","","Тестирование","","Тестирование","Удаление одной из трёх ставок из купона для системы, переключение на экспресс, заключение ставки из деталей события (Test Suite Name: delOneBetFromCouponWhenSystemBetSwitchToExpressBetInEventDetails)","Удаление одной из трёх ставок из купона для системы, переключение на экспресс, заключение ставки из деталей события (Test Suite Name: delOneBetFromCouponWhenSystemBetSwitchToExpressBetInEventDetails)",""
"passed","Fri Oct 15 16:29:27 MSK 2021","Fri Oct 15 16:30:57 MSK 2021","89939","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' из деталей события (Test Suite Name: expressBetWithFreeBetInEventDetails)","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' из деталей события (Test Suite Name: expressBetWithFreeBetInEventDetails)",""
"passed","Fri Oct 15 16:02:25 MSK 2021","Fri Oct 15 16:03:00 MSK 2021","34655","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет c ограничением (Test Suite Name: saleFreeBetWithLimitation)","Продажа бонусной ставки Фрибет c ограничением (Test Suite Name: saleFreeBetWithLimitation)",""
"passed","Fri Oct 15 15:54:54 MSK 2021","Fri Oct 15 15:55:59 MSK 2021","65172","","Тестирование","","Тестирование","Продажа бонусной ставки - Беспроигрышная ставка (Test Suite Name: saleWinWinBet)","Продажа бонусной ставки - Беспроигрышная ставка (Test Suite Name: saleWinWinBet)",""
"passed","Fri Oct 15 16:01:06 MSK 2021","Fri Oct 15 16:02:25 MSK 2021","79023","","Тестирование","","Тестирование","Оформление ставки (Система) (Test Suite Name: systemBet)","Оформление ставки (Система) (Test Suite Name: systemBet)",""
"passed","Fri Oct 15 16:34:19 MSK 2021","Fri Oct 15 16:35:16 MSK 2021","56693","","Тестирование","","Тестирование","Удаление одной из двух ставок из купона для экспресса и проверка этого из деталей события (Test Suite Name: delOneBetFromCouponWhenExpressBetAndCheckItInEventDetails)","Удаление одной из двух ставок из купона для экспресса и проверка этого из деталей события (Test Suite Name: delOneBetFromCouponWhenExpressBetAndCheckItInEventDetails)",""
"passed","Fri Oct 15 15:53:52 MSK 2021","Fri Oct 15 15:54:54 MSK 2021","61818","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет (Test Suite Name: saleFreeBet)","Продажа бонусной ставки Фрибет (Test Suite Name: saleFreeBet)",""
"passed","Fri Oct 15 16:26:48 MSK 2021","Fri Oct 15 16:28:12 MSK 2021","83713","","Тестирование","","Тестирование","Продажа бонусной ставки - Беспроигрышная ставка, из деталей события (Test Suite Name: saleWinWinBetInEventDetails)","Продажа бонусной ставки - Беспроигрышная ставка, из деталей события (Test Suite Name: saleWinWinBetInEventDetails)",""
"passed","Fri Oct 15 16:14:02 MSK 2021","Fri Oct 15 16:14:44 MSK 2021","42401","","Тестирование","","Тестирование","Удаление одной из двух ставок из купона для экспресса и проверка этого (Test Suite Name: delOneBetFromCouponWhenExpressBetAndCheckIt)","Удаление одной из двух ставок из купона для экспресса и проверка этого (Test Suite Name: delOneBetFromCouponWhenExpressBetAndCheckIt)",""
"passed","Fri Oct 15 16:17:16 MSK 2021","Fri Oct 15 16:18:34 MSK 2021","78229","","Тестирование","","Тестирование","Оформление ставки (Одинар) в деталях события (Test Suite Name: odinarBetInEventDetails)","Оформление ставки (Одинар) в деталях события (Test Suite Name: odinarBetInEventDetails)",""
"passed","Fri Oct 15 16:35:16 MSK 2021","Fri Oct 15 16:36:16 MSK 2021","59578","","Тестирование","","Тестирование","Удаление одной из трёх ставок из купона для системы и проверка этого из деталей события (Test Suite Name: delOneBetFromCouponWhenSystemBetAndCheckItInEventDetails)","Удаление одной из трёх ставок из купона для системы и проверка этого из деталей события (Test Suite Name: delOneBetFromCouponWhenSystemBetAndCheckItInEventDetails)",""
"passed","Fri Oct 15 16:10:37 MSK 2021","Fri Oct 15 16:11:14 MSK 2021","36959","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' c ограничением (Test Suite Name: odinarBetWithWinWinBetWithLimitation)","Оформление ставки (Одинар) по бонусной ставке 'Беспроигрышная ставка' c ограничением (Test Suite Name: odinarBetWithWinWinBetWithLimitation)",""
"passed","Fri Oct 15 16:07:00 MSK 2021","Fri Oct 15 16:08:14 MSK 2021","74008","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' (Test Suite Name: expressBetWithWinWinBet)","Оформление ставки (Экспресс) по бонусной ставке 'Беспроигрышная ставка' (Test Suite Name: expressBetWithWinWinBet)",""
"passed","Fri Oct 15 16:37:48 MSK 2021","Fri Oct 15 16:38:53 MSK 2021","65363","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет на учётке с пустым балансом из деталей события (Test Suite Name: saleFreeBetOnAccountWithEmptyBalanceInEventDetails)","Продажа бонусной ставки Фрибет на учётке с пустым балансом из деталей события (Test Suite Name: saleFreeBetOnAccountWithEmptyBalanceInEventDetails)",""
"passed","Fri Oct 15 16:03:32 MSK 2021","Fri Oct 15 16:04:39 MSK 2021","66613","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' (Test Suite Name: odinarBetWithFreeBet)","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' (Test Suite Name: odinarBetWithFreeBet)",""
"passed","Fri Oct 15 15:50:30 MSK 2021","Fri Oct 15 15:50:36 MSK 2021","5504","","Тестирование","","Тестирование","Установка мобильного приложения для тестирования (Test Suite Name: installMobAppForTest)","Установка мобильного приложения для тестирования (Test Suite Name: installMobAppForTest)",""
"passed","Fri Oct 15 15:57:41 MSK 2021","Fri Oct 15 15:58:42 MSK 2021","60792","","Тестирование","","Тестирование","Заключение пари по быстрой ставке в разделе «Линия», просмотр этой ставки и её продажи в истории (Test Suite Name: saleBetViaFastBet)","Заключение пари по быстрой ставке в разделе «Линия», просмотр этой ставки и её продажи в истории (Test Suite Name: saleBetViaFastBet)",""
"passed","Fri Oct 15 16:39:50 MSK 2021","Fri Oct 15 16:40:34 MSK 2021","44531","","Тестирование","","Тестирование","Оформление ставки с пустым балансом из деталей события (Test Suite Name: standartBetWithEmptyBalanceInEventDetails)","Оформление ставки с пустым балансом из деталей события (Test Suite Name: standartBetWithEmptyBalanceInEventDetails)",""
"passed","Fri Oct 15 16:08:14 MSK 2021","Fri Oct 15 16:08:53 MSK 2021","39103","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' c ограничением (Test Suite Name: odinarBetWithFreeBetWithLimitation)","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' c ограничением (Test Suite Name: odinarBetWithFreeBetWithLimitation)",""
"passed","Fri Oct 15 16:19:57 MSK 2021","Fri Oct 15 16:21:29 MSK 2021","92662","","Тестирование","","Тестирование","Оформление ставки (Система) в деталях события (Test Suite Name: systemBetInEventDetails)","Оформление ставки (Система) в деталях события (Test Suite Name: systemBetInEventDetails)",""
"passed","Fri Oct 15 15:52:02 MSK 2021","Fri Oct 15 15:53:03 MSK 2021","61020","","Тестирование","","Тестирование","Продажа бонусной ставки Фрибет на учётке с пустым балансом (Test Suite Name: saleFreeBetOnAccountWithEmptyBalance)","Продажа бонусной ставки Фрибет на учётке с пустым балансом (Test Suite Name: saleFreeBetOnAccountWithEmptyBalance)",""
"passed","Fri Oct 15 16:24:27 MSK 2021","Fri Oct 15 16:25:24 MSK 2021","56103","","Тестирование","","Тестирование","Добавление события в избранное и проверка этого добавления (Test Suite Name: addEventInFavoriteAndCheckIt)","Добавление события в избранное и проверка этого добавления (Test Suite Name: addEventInFavoriteAndCheckIt)",""
"passed","Fri Oct 15 16:04:39 MSK 2021","Fri Oct 15 16:05:56 MSK 2021","77029","","Тестирование","","Тестирование","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' (Test Suite Name: expressBetWithFreeBet)","Оформление ставки (Экспресс) по бонусной ставке 'Фрибэт' (Test Suite Name: expressBetWithFreeBet)",""
"passed","Fri Oct 15 16:18:34 MSK 2021","Fri Oct 15 16:19:57 MSK 2021","82737","","Тестирование","","Тестирование","Оформление ставки (Экспресс) в деталях события (Test Suite Name: expressBetInEventDetails)","Оформление ставки (Экспресс) в деталях события (Test Suite Name: expressBetInEventDetails)",""
"passed","Fri Oct 15 16:40:34 MSK 2021","Fri Oct 15 16:41:24 MSK 2021","49623","","Тестирование","","Тестирование","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' c ограничением из деталей события (Test Suite Name: odinarBetWithFreeBetWithLimitationInEventDetails)","Оформление ставки (Одинар) по бонусной ставке 'Фрибэт' c ограничением из деталей события (Test Suite Name: odinarBetWithFreeBetWithLimitationInEventDetails)",""
"passed","Fri Oct 15 16:13:25 MSK 2021","Fri Oct 15 16:14:02 MSK 2021","36765","","Тестирование","","Тестирование","Удаление последней ставки из купона и проверка этого (Test Suite Name: delLastBetFromCouponAndCheckIt)","Удаление последней ставки из купона и проверка этого (Test Suite Name: delLastBetFromCouponAndCheckIt)",""
